county_state_id,pop_hispan_prop,pop_un_st,state_name,county_name,pop_un_co,state_id,county_id,pop_co,pop_st,state_abbrev,semester,snap_beneficiaries,snap_biannual_chan,sem,pop_un_co_per,pop_un_st_per,year,month,date
12073,.0614321731904165,656000,Florida,Leon County,,12,073,284788,19934451,FL,0718,34271,-5.313035309719838,Jul18,,3.290785384558622,2018,7,July2018
12075,.0812864463686164,656000,Florida,Levy County,,12,075,39707,19934451,FL,0117,7594,.3700766587364512,Jan17,,3.290785384558622,2017,1,January2017
12077,.0661483253588517,656000,Florida,Liberty County,,12,077,8285,19934451,FL,0715,1394,-5.234534330387497,Jul15,,3.290785384558622,2015,7,July2015
12079,.0495193865428232,656000,Florida,Madison County,,12,079,18560,19934451,FL,0716,3923,-13.51410934744268,Jul16,,3.290785384558622,2016,7,July2016
12081,.1570223968431766,656000,Florida,Manatee County,13000,12,081,353411,19934451,FL,0117,43058,-2.340666817872539,Jan17,3.678436720984916,3.290785384558622,2017,1,January2017
12083,.1194131504539062,656000,Florida,Marion County,,12,083,340341,19934451,FL,0119,57886,-2.773065488687709,Jan19,,3.290785384558622,2019,1,January2019
12085,.1290875664962971,656000,Florida,Martin County,,12,085,153592,19934451,FL,0717,12839,-4.064858402450866,Jul17,,3.290785384558622,2017,7,July2017
12087,.2244477286869944,656000,Florida,Monroe County,,12,087,77150,19934451,FL,0118,7071,7.641954635408732,Jan18,,3.290785384558622,2018,1,January2018
12089,.0378757227319594,656000,Florida,Nassau County,,12,089,77187,19934451,FL,0118,8036,6.296296296296289,Jan18,,3.290785384558622,2018,1,January2018
12091,.0848294251750529,656000,Florida,Okaloosa County,,12,091,195798,19934451,FL,0118,20894,7.856700392318805,Jan18,,3.290785384558622,2018,1,January2018
12093,.2525735012388567,656000,Florida,Okeechobee County,,12,093,39420,19934451,FL,0718,8525,-4.823043429719776,Jul18,,3.290785384558622,2018,7,July2018
12095,.2916374368416306,656000,Florida,Orange County,52000,12,095,1256055,19934451,FL,0716,224295,-10.46322243778592,Jul16,4.139946101086338,3.290785384558622,2016,7,July2016
12097,.4970391120882238,656000,Florida,Osceola County,11000,12,097,311962,19934451,FL,0715,78702,1.616526791478368,Jul15,3.526070482943435,3.290785384558622,2015,7,July2015
12099,.2073405785177183,656000,Florida,Palm Beach County,72000,12,099,1398757,19934451,FL,0717,163468,-3.542768126888218,Jul17,5.147427322973183,3.290785384558622,2017,7,July2017
12101,.1340940512763454,656000,Florida,Pasco County,,12,101,488310,19934451,FL,0718,70553,-4.850977747808494,Jul18,,3.290785384558622,2018,7,July2018
12103,.0882978111028912,656000,Florida,Pinellas County,15000,12,103,939548,19934451,FL,0715,146050,-1.869221672758548,Jul15,1.596512365520442,3.290785384558622,2015,7,July2015
12105,.1962646422054778,656000,Florida,Polk County,17000,12,105,637691,19934451,FL,0115,149294,,Jan15,2.665867951719563,3.290785384558622,2015,1,January2015
12107,.0960453543656349,656000,Florida,Putnam County,,12,107,72304,19934451,FL,0119,16761,-2.114115517140691,Jan19,,3.290785384558622,2019,1,January2019
12109,.0612475277511369,656000,Florida,St. Johns County,,12,109,218362,19934451,FL,0118,13635,3.806623524933395,Jan18,,3.290785384558622,2018,1,January2018
12111,.1756394573717993,656000,Florida,St. Lucie County,,12,111,293136,19934451,FL,0717,45602,-2.790390313572511,Jul17,,3.290785384558622,2017,7,July2017
12113,.0522512268849971,656000,Florida,Santa Rosa County,,12,113,163903,19934451,FL,0716,16186,-13.30012319888585,Jul16,,3.290785384558622,2016,7,July2016
12115,.0868168741592394,656000,Florida,Sarasota County,8000,12,115,398011,19934451,FL,0716,33285,-16.33571284938668,Jul16,2.009994698638983,3.290785384558622,2016,7,July2016
12117,.192234857044717,656000,Florida,Seminole County,8000,12,117,442905,19934451,FL,0717,44260,-3.903773502974506,Jul17,1.80625642067712,3.290785384558622,2017,7,July2017
12119,.0564669873196327,656000,Florida,Sumter County,,12,119,113589,19934451,FL,0118,9174,3.392313760847521,Jan18,,3.290785384558622,2018,1,January2018
12121,.0906137840170824,656000,Florida,Suwannee County,,12,121,43653,19934451,FL,0715,9500,-2.872916879664655,Jul15,,3.290785384558622,2015,7,July2015
12123,.0398990346293508,656000,Florida,Taylor County,,12,123,22582,19934451,FL,0718,3598,-5.290866017372997,Jul18,,3.290785384558622,2018,7,July2018
12125,.0530612244897959,656000,Florida,Union County,,12,125,15159,19934451,FL,0715,2761,-5.606837606837612,Jul15,,3.290785384558622,2015,7,July2015
12127,.1223767612224672,656000,Florida,Volusia County,,12,127,510806,19934451,FL,0718,76869,-6.652337061459434,Jul18,,3.290785384558622,2018,7,July2018
12129,.0381776533469076,656000,Florida,Wakulla County,,12,129,31314,19934451,FL,0715,4445,-5.163217409857046,Jul15,,3.290785384558622,2015,7,July2015
12131,.0611084024053307,656000,Florida,Walton County,,12,131,61528,19934451,FL,0118,8120,7.549668874172188,Jan18,,3.290785384558622,2018,1,January2018
12133,.0346816081141876,656000,Florida,Washington County,,12,133,24627,19934451,FL,0119,3209,-18.94417782268249,Jan19,,3.290785384558622,2019,1,January2019
12001,.0906661986114362,656000,Florida,Alachua County,,12,001,256581,19934451,FL,0116,40513,-1.149228967401916,Jan16,,3.290785384558622,2016,1,January2016
12001,.0906661986114362,656000,Florida,Alachua County,,12,001,256581,19934451,FL,0715,40984,-.6761505464944362,Jul15,,3.290785384558622,2015,7,July2015
12001,.0906661986114362,656000,Florida,Alachua County,,12,001,256581,19934451,FL,0119,32655,-2.985739750445637,Jan19,,3.290785384558622,2019,1,January2019
12001,.0906661986114362,656000,Florida,Alachua County,,12,001,256581,19934451,FL,0717,34156,-1.408613324096519,Jul17,,3.290785384558622,2017,7,July2017
12001,.0906661986114362,656000,Florida,Alachua County,,12,001,256581,19934451,FL,0115,41263,,Jan15,,3.290785384558622,2015,1,January2015
12001,.0906661986114362,656000,Florida,Alachua County,,12,001,256581,19934451,FL,0117,34644,-2.105173924100712,Jan17,,3.290785384558622,2017,1,January2017
12001,.0906661986114362,656000,Florida,Alachua County,,12,001,256581,19934451,FL,0118,35090,2.734512237966968,Jan18,,3.290785384558622,2018,1,January2018
12001,.0906661986114362,656000,Florida,Alachua County,,12,001,256581,19934451,FL,0718,33660,-4.075235109717868,Jul18,,3.290785384558622,2018,7,July2018
12003,.0235485180673975,656000,Florida,Baker County,,12,003,27312,19934451,FL,0718,4459,-5.12765957446808,Jul18,,3.290785384558622,2018,7,July2018
12003,.0235485180673975,656000,Florida,Baker County,,12,003,27312,19934451,FL,0115,5539,,Jan15,,3.290785384558622,2015,1,January2015
12003,.0235485180673975,656000,Florida,Baker County,,12,003,27312,19934451,FL,0119,4516,1.278313523211483,Jan19,,3.290785384558622,2019,1,January2019
12003,.0235485180673975,656000,Florida,Baker County,,12,003,27312,19934451,FL,0118,4700,3.024989039894788,Jan18,,3.290785384558622,2018,1,January2018
12003,.0235485180673975,656000,Florida,Baker County,,12,003,27312,19934451,FL,0716,4801,-11.27333210127518,Jul16,,3.290785384558622,2016,7,July2016
12003,.0235485180673975,656000,Florida,Baker County,,12,003,27312,19934451,FL,0117,4725,-1.583003540928973,Jan17,,3.290785384558622,2017,1,January2017
12003,.0235485180673975,656000,Florida,Baker County,,12,003,27312,19934451,FL,0717,4562,-3.449735449735447,Jul17,,3.290785384558622,2017,7,July2017
12003,.0235485180673975,656000,Florida,Baker County,,12,003,27312,19934451,FL,0715,5379,-2.888608051994945,Jul15,,3.290785384558622,2015,7,July2015
12005,.0570550604799285,656000,Florida,Bay County,,12,005,178361,19934451,FL,0118,29101,6.273965599094322,Jan18,,3.290785384558622,2018,1,January2018
12005,.0570550604799285,656000,Florida,Bay County,,12,005,178361,19934451,FL,0116,33196,1.333984553863066,Jan16,,3.290785384558622,2016,1,January2016
12005,.0570550604799285,656000,Florida,Bay County,,12,005,178361,19934451,FL,0715,32759,-5.416486213367977,Jul15,,3.290785384558622,2015,7,July2015
12005,.0570550604799285,656000,Florida,Bay County,,12,005,178361,19934451,FL,0115,34635,,Jan15,,3.290785384558622,2015,1,January2015
